timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
348494,268,51527,94,99,163,88,139,156,74,112,133,170,138,115,90,214,124,178
348522,270,51765,100,100,167,89,142,158,75,112,137,175,140,113,92,218,129,181
348550,270,51791,98,101,169,90,141,165,73,112,143,183,139,116,93,217,131,183
348578,269,51697,100,107,182,94,147,172,74,112,155,195,138,114,98,213,129,184
348606,268,51495,102,111,191,94,153,176,76,114,165,202,140,116,98,217,134,187
348634,268,51927,103,105,190,94,161,181,78,118,155,196,149,119,98,208,133,187
348662,271,52636,97,97,166,89,137,165,74,105,148,183,148,108,89,195,126,174
348690,271,53429,97,102,173,92,138,172,74,107,152,189,149,109,93,195,129,168
348718,271,52005,98,99,176,93,139,169,77,108,154,190,152,107,95,193,133,167
348746,271,52978,97,97,177,91,137,171,78,106,148,180,151,105,96,195,129,163
348775,269,51267,95,94,166,87,130,162,75,104,136,168,136,104,94,187,130,160
348803,271,51068,94,93,166,86,128,159,76,102,134,175,132,104,94,191,129,153
348831,274,50520,96,98,167,94,127,166,78,103,134,186,144,97,96,189,120,153
348859,273,51981,98,106,171,102,132,171,81,104,144,203,154,97,94,196,119,157
348887,270,50944,97,111,176,104,140,177,86,113,148,206,165,99,98,211,125,160
348915,268,52389,102,113,175,108,143,178,89,116,139,204,164,102,98,219,123,163
348943,270,50276,100,117,172,113,143,169,87,117,141,184,167,106,93,219,124,168
348971,271,51287,105,119,172,115,143,163,87,117,154,177,171,109,93,225,123,175
348999,271,51847,103,127,184,114,155,172,88,122,172,193,170,112,89,235,127,179
349027,269,51220,104,126,196,117,164,180,90,129,173,196,174,113,94,247,139,184
349055,266,52367,105,121,194,112,168,176,88,129,162,181,167,117,98,252,141,189
349084,267,51934,99,109,175,98,150,157,84,122,149,155,146,117,91,228,129,181
349112,271,51234,103,110,185,102,150,173,82,114,160,178,164,112,92,216,126,180
349140,271,53274,103,114,192,105,155,179,86,115,167,197,156,113,97,209,134,175
349168,269,52287,102,111,191,108,153,181,85,114,163,198,159,111,100,214,137,175
349196,269,50742,103,116,193,106,147,177,86,114,155,187,156,107,101,216,141,172
349224,269,51384,104,119,191,110,148,185,85,117,159,211,162,112,108,222,138,175
349252,270,51624,104,123,195,114,156,197,88,119,172,231,169,112,110,233,134,178
349280,269,50963,104,127,207,115,166,202,87,126,177,243,173,112,110,241,137,181
349308,268,52804,105,129,209,114,168,203,87,129,172,236,168,116,111,251,144,185
349336,268,50924,109,130,205,111,168,192,86,131,175,218,165,121,105,249,137,191
